timeindex,NO-electricity,SE-biomass-bus,CH-electricity,BE-biomass-bus,AT-electricity,DK-electricity,LU-electricity,BE-electricity,DE-electricity,CH-biomass-bus,NL-electricity,NL-biomass-bus,DE-flex-decentral_heat-bus,SE-electricity,DE-decentral_heat-bus,PL-biomass-bus,DK-biomass-bus,LU-biomass-bus,AT-biomass-bus,CZ-electricity,DE-biomass-bus,PL-electricity,NO-biomass-bus,CZ-biomass-bus,FR-biomass-bus,FR-electricity
2050-01-01 00:00:00,69.4934291581,-1.17108244952,108.90058711,1.07907216495,73.587016386,-0.0,73.587016386,73.8584644044,71.3794058945,18.1445859224,71.6427104723,-0.0,23.7931352982,69.2380237176,0.0,-1.17108244952,-34.89,-0.0,0.94687698,73.587016386,-0.1282293294,69.2380237176,-1.0467,0.94687698,12.1320618557,122.771132572
2050-01-01 01:00:00,69.4934291581,-2.061999,108.90058711,1.07907216495,71.6427104723,-0.0,71.6427104723,73.8584644044,69.4934291581,18.1445859224,71.6427104723,-0.0,23.7931352982,67.4086262834,0.0,-34.89,-34.89,-0.0,-0.0,71.6427104723,-1.0467,-0.0,-1.0467,-0.0,12.1320618557,122.771132572
2050-01-01 02:00:00,65.3420424949,-4.01244377085,101.802071244,-1.06964215645,67.3861262834,-0.0,67.3861262834,69.4463200073,65.3645424949,14.6876086957,67.3629304071,-2.08425289175,23.7931352982,63.40360622,0.0,-34.89,-34.89,-0.0,-2.0729565,65.3645424949,-3.057467805,-0.0,-3.068425305,-3.057467805,12.1320618557,104.950588911
2050-01-01 03:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 04:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 05:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,29.3742411088,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 06:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,29.3742411088,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 07:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,29.3742411088,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 08:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,29.3742411088,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 09:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 10:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 11:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 12:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 13:00:00,65.3420424949,-4.02307254585,93.6579055441,-1.06964215645,67.3629304071,-0.0,67.3629304071,69.4463200073,65.3420424949,10.7214,67.3629304071,-2.08425289175,23.7931352982,63.38178122,0.0,-34.89,-34.89,-0.0,-2.08425289175,65.3420424949,-3.068425305,-0.0,-3.068425305,-3.068425305,12.1320618557,96.5545417981
2050-01-01 14:00:00,69.4934291581,-2.061999,93.6579055441,1.07907216495,71.6427104723,-0.0,71.6427104723,73.8584644044,69.4934291581,10.7214,71.6427104723,-0.0,23.7931352982,67.4086262834,0.0,-34.89,-34.89,-0.0,-0.0,69.4934291581,-1.0467,-0.0,-1.0467,-1.0467,12.1320618557,96.5545417981
2050-01-01 15:00:00,69.4934291581,-0.0,93.6579055441,1.07907216495,73.8584644044,-0.0,73.8584644044,73.8584644044,71.6427104723,10.7214,71.6427104723,-0.0,23.8809034908,71.6427104723,0.0,-34.89,-34.89,-0.0,1.07907216495,71.6427104723,-0.0,-0.0,-1.0467,-0.0,12.1320618557,96.5545417981
2050-01-01 16:00:00,69.4934291581,-0.0,101.802071244,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,14.6876086957,73.8584644044,1.07907216495,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,104.950588911
2050-01-01 17:00:00,69.4934291581,-0.0,101.802071244,3.33836875858,76.1427468087,-0.0,76.1427468087,78.4976771223,73.8584644044,14.6876086957,76.1427468087,2.19151769582,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,104.950588911
2050-01-01 18:00:00,69.4934291581,-0.0,101.802071244,3.33836875858,76.1427468087,-0.0,76.1427468087,78.4976771223,73.8584644044,14.6876086957,76.1427468087,2.19151769582,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,104.950588911
2050-01-01 19:00:00,69.4934291581,-0.0,101.802071244,3.33836875858,76.1427468087,-0.0,76.1427468087,78.4976771223,73.8584644044,14.6876086957,76.1427468087,2.19151769582,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,104.950588911
2050-01-01 20:00:00,69.4934291581,-0.0,93.6579055441,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,10.7214,73.8584644044,1.07907216495,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,96.5545417981
2050-01-01 21:00:00,69.4934291581,-0.0,101.802071244,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,14.6876086957,71.6427104723,-0.0,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,104.950588911
2050-01-01 22:00:00,69.4934291581,-0.0,101.802071244,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,14.6876086957,71.6427104723,-0.0,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,104.950588911
2050-01-01 23:00:00,69.4934291581,-0.0,93.6579055441,1.07907216495,73.8584644044,-0.0,73.8584644044,73.8584644044,71.6427104723,10.7214,71.6427104723,-0.0,23.8809034908,71.6427104723,0.0,-34.89,-34.89,-0.0,1.07907216495,71.6427104723,-0.0,-0.0,-1.0467,-0.0,12.1320618557,96.5545417981
2050-01-02 00:00:00,69.4934291581,-0.0,93.6579055441,1.07907216495,73.8584644044,-0.0,73.8584644044,73.8584644044,71.6427104723,10.7214,71.6427104723,-0.0,23.8809034908,71.6427104723,0.0,-34.89,-34.89,-0.0,1.07907216495,71.6427104723,-0.0,-0.0,-1.0467,-0.0,12.1320618557,96.5545417981
2050-01-02 01:00:00,69.4934291581,-0.0,93.6579055441,1.07907216495,73.8584644044,-0.0,73.8584644044,73.8584644044,71.6427104723,10.7214,71.6427104723,-0.0,23.8809034908,71.6427104723,0.0,-34.89,-34.89,-0.0,1.07907216495,71.6427104723,-0.0,-0.0,-1.0467,-0.0,12.1320618557,96.5545417981
2050-01-02 02:00:00,69.4934291581,-0.0,93.6579055441,1.07907216495,73.8584644044,-0.0,73.8584644044,73.8584644044,71.6427104723,10.7214,71.6427104723,-0.0,23.8809034908,71.6427104723,0.0,-34.89,-34.89,-0.0,1.07907216495,71.6427104723,-0.0,-0.0,-1.0467,-0.0,12.1320618557,96.5545417981
2050-01-02 03:00:00,69.4934291581,-0.0,93.6579055441,1.07907216495,73.8584644044,-0.0,73.8584644044,73.8584644044,71.6427104723,10.7214,71.6427104723,-0.0,23.8809034908,71.6427104723,0.0,-34.89,-34.89,-0.0,1.07907216495,71.6427104723,-0.0,-0.0,-1.0467,-0.0,12.1320618557,96.5545417981
2050-01-02 04:00:00,69.4934291581,-0.0,93.6579055441,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,10.7214,71.6427104723,-0.0,24.6194881348,71.6427104723,0.0,-34.89,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,-0.0,-1.0467,1.07907216495,12.1320618557,96.5545417981
2050-01-02 05:00:00,69.4934291581,-0.0,93.6579055441,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,10.7214,71.6427104723,-0.0,29.4825969022,71.6427104723,0.0,-0.0,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,71.6427104723,-1.0467,1.07907216495,12.1320618557,96.5545417981
2050-01-02 06:00:00,69.4934291581,-0.0,93.6579055441,2.19151769582,76.1427468087,-0.0,76.1427468087,76.1427468087,73.8584644044,10.7214,71.6427104723,-0.0,29.4825969022,71.6427104723,0.0,-0.0,-34.89,-0.0,2.19151769582,73.8584644044,1.07907216495,71.6427104723,-1.0467,1.07907216495,12.1320618557,96.5545417981
