timeindex,NO-electricity,SE-biomass-bus,DK-biomass-bus,BE-biomass-bus,AT-electricity,DK-electricity,LU-electricity,BE-electricity,DE-electricity,CH-biomass-bus,NL-electricity,NL-biomass-bus,DE-flex-decentral_heat-bus,SE-electricity,DE-decentral_heat-bus,PL-biomass-bus,CH-electricity,LU-biomass-bus,AT-biomass-bus,CZ-electricity,DE-biomass-bus,PL-electricity,NO-biomass-bus,CZ-biomass-bus,FR-biomass-bus,FR-electricity
2030-01-01 00:00:00,0.0,-30.32,-30.32,0.256,77.3727282389,0.0,77.3727282389,87.36,75.0515463918,-0.66128,72.8,-4.84,25.0171821306,0.0,0.0,-4.84,84.7392,-3.23954511638,-3.23954511638,75.0515463918,0.0,72.8,-30.32,-4.05195876289,0.0,87.36
2030-01-01 01:00:00,0.0,-30.32,-30.32,0.256,76.5525773196,0.0,76.5525773196,87.36,74.256,-0.9096,72.8,-4.84,24.752,0.0,0.0,-4.84,84.0297142857,-3.52659793814,-3.52659793814,74.256,0.0,72.8,-30.32,-4.3304,0.0,86.6285714286
2030-01-01 02:00:00,0.0,-30.32,-30.32,0.256,76.5525773196,0.0,76.5525773196,87.36,74.256,-0.9096,72.8,-4.84,24.752,0.0,0.0,-4.84,84.0297142857,-3.52659793814,-3.52659793814,74.256,0.0,72.8,-30.32,-4.3304,0.0,86.6285714286
2030-01-01 03:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-1.24282352941,72.8,-4.84,24.2666666667,0.0,0.0,-4.84,83.0776470588,-4.05195876289,-4.05195876289,72.8,-0.5096,72.8,-30.32,-4.84,-0.343529411765,85.6470588235
2030-01-01 04:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-1.24282352941,72.8,-4.84,24.2666666667,0.0,0.0,-4.84,83.0776470588,-4.05195876289,-4.05195876289,72.8,-0.5096,72.8,-30.32,-4.84,-0.343529411765,85.6470588235
2030-01-01 05:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-2.72384615385,72.8,-4.84,29.9588477366,0.0,0.0,-4.84,78.8461538462,-4.05195876289,-4.05195876289,72.8,-0.5096,72.8,-30.32,-4.84,-0.343529411765,85.6470588235
2030-01-01 06:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-2.72384615385,72.8,-4.84,29.9588477366,0.0,0.0,-4.84,78.8461538462,-4.05195876289,-4.05195876289,72.8,-0.5096,72.8,-30.32,-4.84,-0.343529411765,85.6470588235
2030-01-01 07:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-3.23954511638,72.8,-4.84,24.2666666667,0.0,0.0,-4.84,77.3727282389,-4.05195876289,-4.05195876289,72.02832,-0.5096,72.8,-30.32,-5.110088,-0.343529411765,85.6470588235
2030-01-01 08:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-4.05195876289,72.8,-4.84,24.2666666667,0.0,0.0,-4.84,75.0515463918,-4.05195876289,-4.05195876289,72.02832,-0.5096,72.8,-30.32,-5.110088,-0.343529411765,85.6470588235
2030-01-01 09:00:00,0.0,-30.32,-30.32,0.256,75.0515463918,0.0,75.0515463918,87.36,72.8,-4.05195876289,72.8,-4.84,24.2666666667,0.0,0.0,-4.84,75.0515463918,-4.05195876289,-4.05195876289,70.616,-0.5096,72.8,-30.32,-5.6044,-0.343529411765,85.6470588235
